source_file,clause_id,clause_text,week2_category,regex_label,ground_truth
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,6,Each Certiﬁcate will represent an undividedinterest in certain assets of the American Express Credit Account Master Trust (the “Trust”).,Representations and Warranties,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,7,"The property of the Trust willinclude, among other things, receivables (the “Receivables”) generated from time to time in a portfolio of designatedconsumer American Express® credit card accounts and Pay Over Time revolving credit features associated with certaincredit accounts (the “Accounts”) owned by American Express National Bank (the “Bank”) or any other Account Owner (assuch term is deﬁned in the Pooling and Servicing Agreement).",Parties,General Provisions,Parties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,8,"Certain of the Receivables (and the related Accounts) will besubject to review by Xxxxxxx Fixed Income Services LLC (the “Asset Representations Reviewer”) in certaincircumstances for compliance with certain representations and warranties made about the Receivables, in accordance withthe Amended and Restated Asset Representations Review Agreement, dated as of April 1, 2018 (as amended orsupplemented from time to time, the “Asset Representations Review Agreement”), among the Transferor, the Servicer,and the Asset Representations Reviewer.",Representations and Warranties,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,9,"Each capitalized term used, but not deﬁned herein, shall have the meaning speciﬁed in the Pooling and ServicingAgreement.",Parties,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,10,"The Asset Representations Review Agreement, the Pooling and Servicing Agreement and the Amended andRestated Receivables Purchase Agreement, dated as of April 1, 2018, between the Transferor and the Bank (as amended orsupplemented from time to time, the “Receivables Purchase Agreement”) are each sometimes referred to herein as a“Transaction Document.” 1.",Representations and Warranties,Amendments,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,11,"Representations, Warranties and Agreements of the Transferor and TRS.",Representations and Warranties,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,12,"The Transferor, as to and foritself only, and TRS, solely with respect to Section 1(s), represents and warrants to, and agrees with, the Underwriters asfollows: (a) The Transferor has ﬁled with the Securities and Exchange Commission (the “Commission”), on Form SF-3, aregistration statement (Registration Nos.",Representations and Warranties,Representations and Warranties,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,13,"333-263871 and 333-263871-01) relating to the Certiﬁcates, including a form ofprospectus pursuant to Rule 415 under the Securities Act of 1933, as amended (the “Act”).",Amendments,Amendments,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,14,"The Transferor may have ﬁledone or more amendments thereto, each of which has been furnished to the Representatives.",Representations and Warranties,Representations and Warranties,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,15,The Registration Statement(deﬁned below) has been declared eﬀective by the Commission and is eﬀective under the Act.,Governing Law,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,16,The Transferor will also ﬁlewith the Commission a prospectus in accordance with Rule 424 under the Act.,Assignment,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,17,"As ﬁled, the registration statement, asamended, the form of prospectus, and any prospectuses (as amended or supplemented, if applicable) ﬁled pursuant to Rule424 under the Act relating to the Certiﬁcates shall, except to the extent that the Representatives shall agree in writing to amodiﬁcation, be in all substantive respects in the form furnished to you prior to the Execution Time (deﬁned below) or, to theextent not completed at the Execution Time, shall contain only such speciﬁc additional information and other changes(beyond those contained in the latest preliminary prospectus (as amended or supplemented, if applicable) which haspreviously been furnished to the Underwriters) as the Transferor shall have advised the Underwriters, prior to the ExecutionTime, will be included or made therein.",Amendments,Amendments,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,18,"2 For purposes of this Agreement, “Eﬀective Date” means the date and time as of which such registrationstatement, or the most recent post-eﬀective amendment thereto, if any, was declared eﬀective by the Commission or themost recent eﬀective date as of which the Prospectus (as deﬁned below) is deemed to be part of such registration statementpursuant to Rule 430D under the Act.",Parties,Amendments,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,19,"Such registration statement, as amended as of the Eﬀective Date, and including theexhibits thereto, any material incorporated by reference therein and all information deemed to be part of such registrationstatement as of the Eﬀective Date pursuant to Rule 430D under the Act, is hereinafter referred to as the “RegistrationStatement,” and the prospectus (together with static pool information (the “Static Pool Information”) required to bedisclosed pursuant to Item 1105 of Regulation AB under the Act relating to the Certiﬁcates, required to be ﬁled with theCommission pursuant to and in accordance with Rule 424(b) under the Act (“Rule 424(b)”) is referred to as the“Prospectus.” “Execution Time” shall mean the date and time that this Agreement is executed and delivered by theparties hereto.",Parties,Parties,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,20,"A free writing prospectus, dated May 1, 2025, relating to the ratings on the Class A Certiﬁcates (the “RatingsFree Writing Prospectus”) has been ﬁled with the Commission in accordance with Section 5(a) (to the extent required byRule 433 under the Act).",Notices,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,21,"Prior to the time the ﬁrst contract of sale (or, in the event a contract reformation is eﬀective to terminate theexisting contract of sale and extinguish any rights thereunder, the time of the ﬁrst such eﬀective contract reformation) forthe Class A Certiﬁcates was entered into, as designated on Schedule A hereto (the “Time of Sale”), the Transferor hadprepared and ﬁled with the Commission pursuant to and in accordance with Rule 424(h) under the Act (“Rule 424(h)”) apreliminary Prospectus, dated May 1, 2025 (subject to completion).",Term and Termination,Parties,Term and Termination
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,22,"As used herein, “Preliminary Prospectus” means, withrespect to any date or time referred to herein, the most recent preliminary Prospectus (as amended or supplemented, ifapplicable) (including the Static Pool Information), which has been prepared and delivered by the Transferor to theUnderwriters in accordance with the provisions of this Agreement.",Parties,Assignment,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,23,"(b) (i) On the Eﬀective Date and on the date of this Agreement, the Registration Statement did or will, and, whenthe Prospectus was ﬁrst ﬁled and on the Closing Date (as deﬁned below), the Prospectus did or will, comply in all materialrespects with the applicable requirements of the Act and the rules and regulations of the Commission promulgatedthereunder (the “Rules and Regulations”)",Parties,General Provisions,Term and Termination
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,24,"(ii) on the Eﬀective Date, the Registration Statement did not contain any untrue statement of a material fact oromit to state any material fact required to be stated therein or necessary in order to make the statements therein notmisleading",Governing Law,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,25,"(iii) as of its date and at the Time of Sale, the Preliminary Prospectus, together with the Ratings Free WritingProspectus did not or will not include any untrue statement of a material fact or omit to state a material fact necessary inorder to make the statements therein, in the light of the circumstances under which they were made, not misleading (itbeing understood that no representation or warranty is made with respect to the omission of pricing and price-dependentinformation, which information shall of necessity appear only in the Prospectus)",Representations and Warranties,Representations and Warranties,Severability
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,26,"(iv) as of its date and as of the Closing Date, the Prospectus will not include any untrue statement of amaterial fact or omit to state a material fact necessary in order to make the statements therein, in the light of thecircumstances under which they were made, not misleading",Governing Law,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,27,"and (v) other than the Preliminary Prospectus, the Ratings Free Writing Prospectus, the Prospectus and thePermitted Additional Information (as deﬁned in Section 4(b)), the Transferor (including its agents and representatives otherthan the Underwriters in their capacity as such) has not made, used, prepared, authorized, approved or referred to and willnot prepare, make, use, 3 authorize, approve or refer to any “written communication” (as deﬁned in Rule 405 under the Act) that constitutes an oﬀer tosell or solicitation of an oﬀer to buy the Certiﬁcates",Representations and Warranties,Representations and Warranties,Notices
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,28,"provided that the Transferor makes no representation or warranty as tothe information contained in or omitted from the Registration Statement, the Preliminary Prospectus, the Ratings FreeWriting Prospectus or the Prospectus in reliance upon and in conformity with the Underwriter Information (as deﬁned below).",Representations and Warranties,Representations and Warranties,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,29,"(c) Since the respective dates as of which information is given in the Registration Statement, the PreliminaryProspectus and the Ratings Free Writing Prospectus, there has not been any material adverse change in the ﬁnancialcondition, results of operations or business of the Transferor, whether or not arising from transactions in the ordinary courseof business that, would reasonably be expected to materially adversely aﬀect the interests of the holders of the Certiﬁcates,otherwise than as set forth or contemplated in the Preliminary Prospectus.",Governing Law,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,30,"(d) The Transferor (i) is duly organized, validly existing and in good standing under the laws of the jurisdiction inwhich it is organized, (ii) is qualiﬁed to transact business in, and is in good standing under, the laws of each jurisdiction inwhich its activities require such qualiﬁcation (except where the failure to be so qualiﬁed would not, individually or in theaggregate, have a material adverse eﬀect on the ﬁnancial condition, results of operations or business of the Transferor), and(iii) has full power, authority and legal right to own its properties and conduct its business as such properties are presentlyowned and such business is presently conducted and to execute, deliver and perform its obligations under this Agreement,each Transaction Document to which it shall be a party and the Certiﬁcates.",Parties,Governing Law,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,31,"(e) This Agreement has been duly and validly authorized, executed and delivered by the Transferor.",Parties,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,32,"(f) The Pooling and Servicing Agreement has been duly authorized, executed and delivered by the Transferor, andassuming the due authorization, execution and delivery thereof by the Trustee and the Servicer, constitutes a valid andbinding obligation of the Transferor enforceable against the Transferor in accordance with its terms, subject to applicablebankruptcy, fraudulent conveyance, reorganization, insolvency, moratorium and similar laws aﬀecting or relating to creditorsrights generally and to general principles of equity (regardless of whether enforceability is considered in a proceeding inequity or at law).",Parties,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,33,"As of the Closing Date, the Pooling and Servicing Agreement will conform in all material respects to thedescription thereof contained in the Preliminary Prospectus and the Prospectus.",Parties,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,34,"(g) The Certiﬁcates have been duly and validly authorized by all required action of the Transferor, and when dulyand validly executed by the Transferor, authenticated by the Trustee and delivered in accordance with the Pooling andServicing Agreement, and delivered to and paid for by the Underwriters in accordance with the terms of this Agreement (inthe case of the Class A Certiﬁcates) or RFC III in accordance with the terms of the Class B Purchase Agreement (in the caseof the Class B Certiﬁcates), will be validly issued and outstanding and entitled to the beneﬁts of the Pooling and ServicingAgreement.",Parties,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,35,"As of the Closing Date, the Certiﬁcates will have been duly and validly executed by the Transferor, and willconform in all material respects to the descriptions thereof contained in the Preliminary Prospectus and the Prospectus.",Assignment,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,36,"(h) The Receivables Purchase Agreement has been duly authorized, executed and delivered by the Transferor, andassuming the due authorization, execution and delivery thereof by the other parties thereto, the Receivables PurchaseAgreement constitutes valid and binding obligations of the Transferor, enforceable against the Transferor in accordance withits terms, subject to applicable bankruptcy, fraudulent conveyance, reorganization, insolvency, moratorium and similar lawsaﬀecting or relating to creditors’ rights generally and to general principles of equity (regardless of whether 4 enforceability is considered in a proceeding in equity or at law).",Parties,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,37,"As of the Closing Date, the Receivables Purchase Agreementwill conform in all material respects to the description thereof contained in the Preliminary Prospectus and the Prospectus.",Parties,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,38,(i) The Receivables conform in all material respects with the description thereof contained in the PreliminaryProspectus and the Prospectus.,General Provisions,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,39,"(j) Neither the transfer of the Receivables to the Trustee by the Transferor, nor the issuance, sale and delivery ofthe Certiﬁcates, nor the execution or delivery of this Agreement or any Transaction Document by the Transferor, nor theconsummation of any of the transactions herein or therein contemplated, nor the fulﬁllment of the terms of the Certiﬁcates,any Transaction Document or this Agreement, will result in (i) the breach of any term or provision of the charter or by-laws ofthe Transferor or conﬂict with, result in a material breach, violation or acceleration of, or constitute a default under, theterms of any material indenture or other agreement or instrument to which the Transferor is a party or by which it or itsproperties is bound or may be aﬀected, (ii) to the best knowledge of the Transferor, the breach of any term or provision ofany material statute, order or regulation applicable to the Transferor of any court, regulatory body, administrative agency,governmental body or arbitrator having jurisdiction over the Transferor or (iii) the creation of any Lien upon any property orassets of the Transferor (other than as contemplated in any Transaction Document), except, in the case of (ii) and (iii), wheresuch conﬂict, breach or creation of any Lien would not, individually or in the aggregate, have a material adverse eﬀect onﬁnancial condition, results of operations or business of the Transferor.",Parties,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,40,"The Transferor is not a party to, bound by, or in breachor violation of, any indenture or other agreement or instrument, or subject to, or in violation of, any statute, order orregulation of any court, regulatory body, administrative agency, governmental body or arbitrator having jurisdiction over it,that materially and adversely aﬀects the ability of it to perform its obligations under this Agreement, any TransactionDocument to which it is a party or the Certiﬁcates.",Parties,Parties,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,41,"(k) Other than as set forth or contemplated in the Preliminary Prospectus, to the best knowledge of theTransferor, there are no material actions, suits or proceedings aﬀecting the Transferor before or by any court, regulatorybody, administrative agency, governmental body or arbitrator now pending or, threatened that, individually or in theaggregate, (i) would reasonably be likely to have a material adverse eﬀect on (x) the ﬁnancial condition, results ofoperations, or business of the Transferor or (y) the ability of the Transferor to perform its obligations under this Agreement,any Transaction Document to which it is a party or the Certiﬁcates, (ii) assert the invalidity of this Agreement, anyTransaction Document or the Certiﬁcates, (iii) seek to prevent the issuance, sale or delivery of the Certiﬁcates or any of thetransactions contemplated by this Agreement or any Transaction Document or (iv) seek to aﬀect adversely the federalincome tax or ERISA attributes of the Certiﬁcates described in the Preliminary Prospectus.",Parties,Assignment,Force Majeure
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,42,"(l) No federal, state or local tax, including intangibles tax or documentary stamp tax, the non-payment of whichwould result in the imposition of a Lien on the Receivables, is imposed with respect to the conveyance of the Receivables bythe Transferor pursuant to any Transaction Document, or in connection with the issuance of the Certiﬁcates by the Trust, orthe holding of such Receivables by the Trust, or in connection with any of the other transactions contemplated by thisAgreement or any Transaction Document.",Payment,Payment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,43,"Any such taxes, fees and other governmental charges in connection with theexecution, delivery and issuance of the Certiﬁcates or the execution and delivery of this Agreement or any TransactionDocument have been or will have been paid by the Transferor at or prior to the Closing Date.",Payment,Payment,General Provisions
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,44,"(m) As of the Closing Date, the representations and warranties of the Transferor in each Transaction Document towhich it is a party (individually and in the aggregate) will be true and 5 correct in all material respects, except that to the extent that any such representation or warranty expressly relates to anearlier date, such representation or warranty was true and correct in all material respects at and as of such date.",Representations and Warranties,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,45,"(n) Except as required under the Act, the Securities Exchange Act of 1934, as amended (the “Exchange Act”),and other applicable securities laws, no consent, approval, authorization, order, registration or qualiﬁcation of or with anycourt or governmental agency or body is required for the execution, delivery and performance by the Transferor of, or thecompliance by the Transferor with, this Agreement, each Transaction Document to which it is a party or the Certiﬁcates or theconsummation of the transactions contemplated hereby or thereby other than (i) those that have been obtained or made andremain in full force and eﬀect and (ii) without limitation, the ﬁling of Uniform Commercial Code ﬁnancing statements withrespect to the Receivables.",Parties,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,46,"(o) The accounting ﬁrm of certiﬁed public accountants, who have audited certain ﬁnancial statements of theBank, are independent public accountants as required by the Act and the Rules and Regulations.",Governing Law,General Provisions,Representations and Warranties
